Title,Authors,Year,PDF Link
"Low-Rank Bandit Methods for High-Dimensional Dynamic Pricing","Jonas W. Mueller, Vasilis Syrgkanis, Matt Taddy","2019","https://papers.nips.cc/paper_files/paper/2019/file/0a3df70393993583a13c0dd6686f3f32-Paper.pdf"
"Learning Stable Deep Dynamics Models","J. Zico Kolter, Gaurav Manek","2019","https://papers.nips.cc/paper_files/paper/2019/file/0a4bbceda17a6253386bc9eb45240e25-Paper.pdf"
"Beyond the Single Neuron Convex Barrier for Neural Network Certification","Gagandeep Singh, Rupanshu Ganvir, Markus Püschel, Martin Vechev","2019","https://papers.nips.cc/paper_files/paper/2019/file/0a9fdbb17feb6ccb7ec405cfb85222c4-Paper.pdf"
"Variational Mixture-of-Experts Autoencoders for Multi-Modal Deep Generative Models","Yuge Shi, Siddharth N, Brooks Paige, Philip Torr","2019","https://papers.nips.cc/paper_files/paper/2019/file/0ae775a8cb3b499ad1fca944e6f5c836-Paper.pdf"
"Language as an Abstraction for Hierarchical Deep Reinforcement Learning","YiDing Jiang, Shixiang (Shane) Gu, Kevin P. Murphy, Chelsea Finn","2019","https://papers.nips.cc/paper_files/paper/2019/file/0af787945872196b42c9f73ead2565c8-Paper.pdf"
"High-dimensional multivariate forecasting with low-rank Gaussian Copula Processes","David Salinas, Michael Bohlke-Schneider, Laurent Callot, Roberto Medico, Jan Gasthaus","2019","https://papers.nips.cc/paper_files/paper/2019/file/0b105cf1504c4e241fcc6d519ea962fb-Paper.pdf"
"Learning Macroscopic Brain Connectomes via Group-Sparse Factorization","Farzane Aminmansour, Andrew Patterson, Lei Le, Yisu Peng, Daniel Mitchell, Franco Pestilli, Cesar F. Caiafa, Russell Greiner, Martha White","2019","https://papers.nips.cc/paper_files/paper/2019/file/0bfce127947574733b19da0f30739fcd-Paper.pdf"
"Optimal Sketching for Kronecker Product Regression and Low Rank Approximation","Huaian Diao, Rajesh Jayaram, Zhao Song, Wen Sun, David Woodruff","2019","https://papers.nips.cc/paper_files/paper/2019/file/0c215f194276000be6a6df6528067151-Paper.pdf"
"Deep Gamblers: Learning to Abstain with Portfolio Theory","Ziyin Liu, Zhikang Wang, Paul Pu Liang, Russ R. Salakhutdinov, Louis-Philippe Morency, Masahito Ueda","2019","https://papers.nips.cc/paper_files/paper/2019/file/0c4b1eeb45c90b52bfb9d07943d855ab-Paper.pdf"
"DRUM: End-To-End Differentiable Rule Mining On Knowledge Graphs","Ali Sadeghian, Mohammadreza Armandpour, Patrick Ding, Daisy Zhe Wang","2019","https://papers.nips.cc/paper_files/paper/2019/file/0c72cb7ee1512f800abe27823a792d03-Paper.pdf"
"Combinatorial Inference against Label Noise","Paul Hongsuck Seo, Geeho Kim, Bohyung Han","2019","https://papers.nips.cc/paper_files/paper/2019/file/0cb929eae7a499e50248a3a78f7acfc7-Paper.pdf"
"Localized Structured Prediction","Carlo Ciliberto, Francis Bach, Alessandro Rudi","2019","https://papers.nips.cc/paper_files/paper/2019/file/0cbed40c0d920b94126eaf5e707be1f5-Paper.pdf"
"Fast Low-rank Metric Learning for Large-scale and High-dimensional Data","Han Liu, Zhizhong Han, Yu-Shen Liu, Ming Gu","2019","https://papers.nips.cc/paper_files/paper/2019/file/0d0fd7c6e093f7b804fa0150b875b868-Paper.pdf"
"Wide Neural Networks of Any Depth Evolve as Linear Models Under Gradient Descent","Jaehoon Lee, Lechao Xiao, Samuel Schoenholz, Yasaman Bahri, Roman Novak, Jascha Sohl-Dickstein, Jeffrey Pennington","2019","https://papers.nips.cc/paper_files/paper/2019/file/0d1a9651497a38d8b1c3871c84528bd4-Paper.pdf"
"Retrosynthesis Prediction with Conditional Graph Logic Network","Hanjun Dai, Chengtao Li, Connor Coley, Bo Dai, Le Song","2019","https://papers.nips.cc/paper_files/paper/2019/file/0d2b2061826a5df3221116a5085a6052-Paper.pdf"
"Efficient Pure Exploration in Adaptive Round model","Tianyuan Jin, Jieming SHI, Xiaokui Xiao, Enhong Chen","2019","https://papers.nips.cc/paper_files/paper/2019/file/0d441de75945e5acbc865406fc9a2559-Paper.pdf"
"Unsupervised Emergence of Egocentric Spatial Structure from Sensorimotor Prediction","Alban Laflaquière, Michael Garcia Ortiz","2019","https://papers.nips.cc/paper_files/paper/2019/file/0dd1bc593a91620daecf7723d2235624-Paper.pdf"
"Adversarial Robustness through Local Linearization","Chongli Qin, James Martens, Sven Gowal, Dilip Krishnan, Krishnamurthy Dvijotham, Alhussein Fawzi, Soham De, Robert Stanforth, Pushmeet Kohli","2019","https://papers.nips.cc/paper_files/paper/2019/file/0defd533d51ed0a10c5c9dbf93ee78a5-Paper.pdf"
"Generalized Off-Policy Actor-Critic","Shangtong Zhang, Wendelin Boehmer, Shimon Whiteson","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e095e054ee94774d6a496099eb1cf6a-Paper.pdf"
"Average Individual Fairness: Algorithms, Generalization and Experiments","Saeed Sharifi-Malvajerdi, Michael Kearns, Aaron Roth","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e1feae55e360ff05fef58199b3fa521-Paper.pdf"
"Comparing distributions: $\ell_1$ geometry improves kernel two-sample testing","meyer scetbon, Gael Varoquaux","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e2db0cb2c4645904a054261104b7a14-Paper.pdf"
"Nonstochastic Multiarmed Bandits with Unrestricted Delays","Tobias Sommer Thune, Nicolò Cesa-Bianchi, Yevgeny Seldin","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e4f5cc9f4f3f7f1651a6b9f9214e5b1-Paper.pdf"
"Approximate Bayesian Inference for a Mechanistic Model of Vesicle Release at a Ribbon Synapse","Cornelius Schröder, Ben James, Leon Lagnado, Philipp Berens","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e57098d0318a954d1443e2974a38fac-Paper.pdf"
"Data-dependent Sample Complexity of Deep Neural Networks via Lipschitz Augmentation","Colin Wei, Tengyu Ma","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e79548081b4bd0df3c77c5ba2c23289-Paper.pdf"
"Semi-supervisedly Co-embedding Attributed Networks","Zaiqiao Meng, Shangsong Liang, Jinyuan Fang, Teng Xiao","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e7c7d6c41c76b9ee6445ae01cc0181d-Paper.pdf"
"Adaptive Auxiliary Task Weighting for Reinforcement Learning","Xingyu Lin, Harjatin Baweja, George Kantor, David Held","2019","https://papers.nips.cc/paper_files/paper/2019/file/0e900ad84f63618452210ab8baae0218-Paper.pdf"
"Continuous Hierarchical Representations with Poincaré Variational Auto-Encoders","Emile Mathieu, Charline Le Lan, Chris J. Maddison, Ryota Tomioka, Yee Whye Teh","2019","https://papers.nips.cc/paper_files/paper/2019/file/0ec04cb3912c4f08874dd03716f80df1-Paper.pdf"
"Training Image Estimators without Image Ground Truth","Zhihao Xia, Ayan Chakrabarti","2019","https://papers.nips.cc/paper_files/paper/2019/file/0ed9422357395a0d4879191c66f4faa2-Paper.pdf"
"On the Convergence Rate of Training Recurrent Neural Networks","Zeyuan Allen-Zhu, Yuanzhi Li, Zhao Song","2019","https://papers.nips.cc/paper_files/paper/2019/file/0ee8b85a85a49346fdff9665312a5cc4-Paper.pdf"
"Minimizers of the Empirical Risk and Risk Monotonicity","Marco Loog, Tom Viering, Alexander Mey","2019","https://papers.nips.cc/paper_files/paper/2019/file/0f9cafd014db7a619ddb4276af0d692c-Paper.pdf"
"Factor Group-Sparse Regularization for Efficient Low-Rank Matrix Recovery","Jicong Fan, Lijun Ding, Yudong Chen, Madeleine Udell","2019","https://papers.nips.cc/paper_files/paper/2019/file/0fc170ecbb8ff1afb2c6de48ea5343e7-Paper.pdf"
"Möbius Transformation for Fast Inner Product Search on Graph","Zhixin Zhou, Shulong Tan, Zhaozhuo Xu, Ping Li","2019","https://papers.nips.cc/paper_files/paper/2019/file/0fd7e4f42a8b4b4ef33394d35212b13e-Paper.pdf"
"The Label Complexity of Active Learning from Observational Data","Songbai Yan, Kamalika Chaudhuri, Tara Javidi","2019","https://papers.nips.cc/paper_files/paper/2019/file/1019c8091693ef5c5f55970346633f92-Paper.pdf"
"Hyperbolic Graph Neural Networks","Qi Liu, Maximilian Nickel, Douwe Kiela","2019","https://papers.nips.cc/paper_files/paper/2019/file/103303dd56a731e377d01f6a37badae3-Paper.pdf"
"Learning Fairness in Multi-Agent Systems","Jiechuan Jiang, Zongqing Lu","2019","https://papers.nips.cc/paper_files/paper/2019/file/10493aa88605cad5ab4752b04a63d172-Paper.pdf"
"On Robustness to Adversarial Examples and Polynomial Optimization","Pranjal Awasthi, Abhratanu Dutta, Aravindan Vijayaraghavan","2019","https://papers.nips.cc/paper_files/paper/2019/file/107878346e1d8f8fe6af7a7a588aa807-Paper.pdf"
"In-Place Zero-Space Memory Protection for CNN","Hui Guan, Lin Ning, Zhen Lin, Xipeng Shen, Huiyang Zhou, Seung-Hwan Lim","2019","https://papers.nips.cc/paper_files/paper/2019/file/1091660f3dff84fd648efe31391c5524-Paper.pdf"
"Non-Asymptotic Gap-Dependent Regret Bounds for Tabular MDPs","Max Simchowitz, Kevin G. Jamieson","2019","https://papers.nips.cc/paper_files/paper/2019/file/10a5ab2db37feedfdeaab192ead4ac0e-Paper.pdf"
"Discovery of Useful Questions as Auxiliary Tasks","Vivek Veeriah, Matteo Hessel, Zhongwen Xu, Janarthanan Rajendran, Richard L. Lewis, Junhyuk Oh, Hado P. van Hasselt, David Silver, Satinder Singh","2019","https://papers.nips.cc/paper_files/paper/2019/file/10ff0b5e85e5b85cc3095d431d8c08b4-Paper.pdf"
"Sequential Neural Processes","Gautam Singh, Jaesik Yoon, Youngsung Son, Sungjin Ahn","2019","https://papers.nips.cc/paper_files/paper/2019/file/110209d8fae7417509ba71ad97c17639-Paper.pdf"
"Deconstructing Lottery Tickets: Zeros, Signs, and the Supermask","Hattie Zhou, Janice Lan, Rosanne Liu, Jason Yosinski","2019","https://papers.nips.cc/paper_files/paper/2019/file/1113d7a76ffceca1bb350bfe145467c6-Paper.pdf"
"Fast and Flexible Multi-Task Classification using Conditional Neural Adaptive Processes","James Requeima, Jonathan Gordon, John Bronskill, Sebastian Nowozin, Richard E. Turner","2019","https://papers.nips.cc/paper_files/paper/2019/file/1138d90ef0a0848a542e57d1595f58ea-Paper.pdf"
